# Sample of 1000 probability pixels from cumulative_reduced3Dmap-64nside-2000max-100step.npz using dist method
# dec,ra,d_l,weight
1.899606,0.834486,500.000000,3.28230643e-11
1.899606,0.834486,500.000000,3.28230643e-11
1.899606,0.834486,500.000000,3.28230643e-11
1.899606,0.834486,500.000000,3.28230643e-11
1.899606,0.834486,500.000000,3.28230643e-11
1.888620,0.846757,700.000000,3.25258179e-11
1.888620,0.846757,700.000000,3.25258179e-11
1.888620,0.846757,700.000000,3.25258179e-11
1.888620,0.846757,700.000000,3.25258179e-11
1.888620,0.846757,700.000000,3.25258179e-11
1.932819,0.895845,500.000000,2.93648760e-11
1.932819,0.895845,500.000000,2.93648760e-11
1.932819,0.895845,500.000000,2.93648760e-11
1.932819,0.895845,500.000000,2.93648760e-11
1.921704,0.859029,400.000000,2.75625035e-11
1.932819,0.871301,400.000000,2.56530589e-11
1.932819,0.871301,400.000000,2.56530589e-11
1.932819,0.871301,400.000000,2.56530589e-11
1.932819,0.871301,400.000000,2.56530589e-11
1.877674,0.834486,600.000000,2.50871367e-11
1.877674,0.834486,600.000000,2.50871367e-11
1.877674,0.834486,600.000000,2.50871367e-11
1.877674,0.834486,600.000000,2.50871367e-11
1.932819,0.895845,700.000000,2.47592487e-11
1.932819,0.895845,700.000000,2.47592487e-11
1.910633,0.871301,400.000000,2.35980189e-11
1.910633,0.871301,400.000000,2.35980189e-11
1.910633,0.871301,400.000000,2.35980189e-11
1.899606,0.834486,700.000000,2.30689687e-11
1.899606,0.834486,700.000000,2.30689687e-11
1.899606,0.834486,700.000000,2.30689687e-11
1.955193,0.895845,600.000000,2.22364111e-11
1.899606,0.859029,400.000000,2.16370272e-11
1.899606,0.859029,400.000000,2.16370272e-11
1.899606,0.859029,400.000000,2.16370272e-11
1.899606,0.859029,400.000000,2.16370272e-11
1.899606,0.859029,400.000000,2.16370272e-11
1.877674,0.834486,500.000000,2.04617563e-11
1.877674,0.834486,500.000000,2.04617563e-11
1.877674,0.834486,500.000000,2.04617563e-11
1.910633,0.846757,400.000000,2.04343378e-11
1.910633,0.846757,400.000000,2.04343378e-11
1.910633,0.846757,400.000000,2.04343378e-11
1.910633,0.846757,400.000000,2.04343378e-11
1.910633,0.846757,400.000000,2.04343378e-11
1.921704,0.883573,400.000000,1.82331224e-11
1.921704,0.883573,400.000000,1.82331224e-11
1.921704,0.883573,400.000000,1.82331224e-11
1.955193,0.895845,500.000000,1.77962868e-11
1.955193,0.895845,500.000000,1.77962868e-11
1.955193,0.895845,500.000000,1.77962868e-11
1.955193,0.895845,500.000000,1.77962868e-11
1.921704,0.859029,800.000000,1.70162668e-11
1.921704,0.859029,800.000000,1.70162668e-11
1.921704,0.859029,800.000000,1.70162668e-11
1.932819,0.871301,800.000000,1.64869082e-11
1.932819,0.871301,800.000000,1.64869082e-11
1.932819,0.871301,800.000000,1.64869082e-11
1.910633,0.871301,800.000000,1.63018697e-11
1.910633,0.871301,800.000000,1.63018697e-11
1.910633,0.871301,800.000000,1.63018697e-11
1.943982,0.883573,400.000000,1.61916221e-11
1.943982,0.883573,400.000000,1.61916221e-11
1.943982,0.883573,400.000000,1.61916221e-11
1.943982,0.883573,400.000000,1.61916221e-11
1.943982,0.883573,400.000000,1.61916221e-11
1.888620,0.822214,600.000000,1.44740800e-11
1.888620,0.822214,600.000000,1.44740800e-11
1.888620,0.846757,400.000000,1.44511546e-11
1.943982,0.859029,600.000000,1.37878274e-11
1.955193,0.895845,700.000000,1.36653695e-11
1.955193,0.895845,700.000000,1.36653695e-11
1.955193,0.895845,700.000000,1.36653695e-11
1.955193,0.895845,700.000000,1.36653695e-11
1.877674,0.834486,700.000000,1.33243647e-11
1.899606,0.859029,800.000000,1.32884717e-11
1.921704,0.883573,800.000000,1.32835231e-11
1.921704,0.883573,800.000000,1.32835231e-11
1.921704,0.883573,800.000000,1.32835231e-11
1.932819,0.846757,600.000000,1.24551925e-11
1.932819,0.846757,600.000000,1.24551925e-11
1.943982,0.908117,600.000000,1.20402907e-11
0.676214,5.180607,1500.000000,1.20308532e-11
