# Highest 5000 probability pixels from Results/cumulative_reduced3Dmap-8_set_1.npz
# dec,ra,distance,weight
2.300524,2.454369,1280.000000,1.05995656e+03
0.516016,1.413717,1190.000000,1.05958212e+03
0.516016,4.555309,1260.000000,1.05949722e+03
0.204480,1.963495,1240.000000,1.05934983e+03
0.204480,1.963495,1240.000000,1.05934983e+03
1.910633,3.632467,1330.000000,1.05924183e+03
1.910633,3.632467,1330.000000,1.05924183e+03
0.947970,0.981748,1300.000000,1.05912754e+03
0.947970,2.159845,1370.000000,1.05906292e+03
2.411019,0.112200,1240.000000,1.05892430e+03
2.730455,6.086836,1290.000000,1.05855524e+03
2.000572,0.785398,1280.000000,1.05832076e+03
1.318116,0.589049,1290.000000,1.05799657e+03
0.622368,2.225295,1160.000000,1.05791347e+03
2.300524,5.595962,1270.000000,1.05784066e+03
0.516016,5.183628,1160.000000,1.05759391e+03
2.411019,3.478192,1090.000000,1.05733441e+03
0.516016,3.298672,1230.000000,1.05732818e+03
2.519224,3.534292,1310.000000,1.05725989e+03
2.730455,5.301438,1260.000000,1.05724664e+03
2.730455,5.301438,1260.000000,1.05724664e+03
1.141021,3.730641,1290.000000,1.05668212e+03
0.411138,0.589049,1160.000000,1.05640252e+03
0.411138,5.694137,1220.000000,1.05562674e+03
0.841069,0.098175,1180.000000,1.05549374e+03
2.411019,2.356194,1130.000000,1.05457870e+03
2.625576,5.497787,1390.000000,1.05442901e+03
1.570796,0.883573,1270.000000,1.05416204e+03
0.307395,3.403392,1080.000000,1.05410580e+03
1.318116,5.497787,1360.000000,1.05390779e+03
2.300524,5.203263,1380.000000,1.05375601e+03
0.204480,4.319690,1380.000000,1.05314218e+03
1.047198,6.185011,1340.000000,1.05262593e+03
0.730574,6.170986,1230.000000,1.05252654e+03
2.519224,5.890486,1240.000000,1.05221941e+03
